Fecha_Ini_Expte;Cant_Expte
2021-01-04;1069.0
2021-01-05;1084.0
2021-01-06;1003.0
2021-01-07;966.0
2021-01-08;910.0
2021-01-11;1027.0
2021-01-12;1184.0
2021-01-13;1020.0
2021-01-14;868.0
2021-01-15;866.0
2021-01-18;981.0
2021-01-19;824.0
2021-01-20;870.0
2021-01-21;727.0
2021-01-22;793.0
2021-01-25;884.0
2021-01-26;745.0
2021-01-27;855.0
2021-01-28;902.0
2021-01-29;736.0
2021-02-01;712.0
2021-02-02;765.0
2021-02-03;879.0
2021-02-04;858.0
2021-02-05;1052.0
2021-02-08;1008.0
2021-02-09;1007.0
2021-02-10;1172.0
2021-02-11;1045.0
2021-02-12;1125.0
2021-02-15;8.0
2021-02-16;1028.0
2021-02-17;1028.0
2021-02-18;1187.0
2021-02-19;999.0
2021-02-22;1216.0
2021-02-23;1056.0
2021-02-24;1030.0
2021-02-25;928.0
2021-02-26;1025.0
2021-03-01;1198.0
2021-03-02;1057.0
2021-03-03;1016.0
2021-03-04;1034.0
2021-03-05;1067.0
2021-03-08;602.0
2021-03-09;1543.0
2021-03-10;1325.0
2021-03-11;1141.0
2021-03-12;1193.0
2021-03-15;1388.0
2021-03-16;1159.0
2021-03-17;1249.0
2021-03-18;997.0
2021-03-19;997.0
2021-03-22;1108.0
2021-03-23;1176.0
2021-03-24;2.0
2021-03-25;1419.0
2021-03-26;1242.0
2021-03-29;1132.0
2021-03-30;1155.0
2021-03-31;1124.0
2021-04-01;1.0
2021-04-02;1132.0
2021-04-05;1132.0
2021-04-06;1191.0
2021-04-07;1185.0
2021-04-08;1245.0
2021-04-09;1098.0
2021-04-12;1115.0
2021-04-13;1167.0
2021-04-14;1245.0
2021-04-15;1297.0
2021-04-16;1077.0
2021-04-19;1290.0
2021-04-20;1367.0
2021-04-21;1089.0
2021-04-22;1030.0
2021-04-23;883.0
2021-04-26;1092.0
2021-04-27;1095.0
2021-04-28;1123.0
2021-04-29;1115.0
2021-04-30;1042.0
2021-05-03;1115.0
2021-05-04;1102.0
2021-05-05;1106.0
2021-05-06;1155.0
2021-05-07;1190.0
2021-05-10;1297.0
2021-05-11;1100.0
2021-05-12;1111.0
2021-05-13;1173.0
2021-05-14;853.0
2021-05-17;1266.0
2021-05-18;1144.0
2021-05-19;1124.0
2021-05-20;1087.0
2021-05-21;713.0
2021-05-24;1.0
2021-05-25;604.0
2021-05-26;604.0
2021-05-27;580.0
2021-05-28;403.0
2021-05-31;847.0
2021-06-01;915.0
2021-06-02;1077.0
2021-06-03;931.0
2021-06-04;953.0
2021-06-07;1166.0
2021-06-08;1200.0
2021-06-09;1213.0
2021-06-10;1184.0
2021-06-11;1186.0
2021-06-14;1292.0
2021-06-15;1072.0
2021-06-16;1124.0
2021-06-17;1082.0
2021-06-18;860.0
2021-06-21;11.0
2021-06-22;890.0
2021-06-23;1013.0
2021-06-24;1140.0
2021-06-25;877.0
2021-06-28;1029.0
2021-06-29;1001.0
2021-06-30;1267.0
2021-07-01;935.0
2021-07-02;1092.0
2021-07-05;1210.0
2021-07-06;1441.0
2021-07-07;1130.0
2021-07-08;990.0
2021-07-09;1265.0
2021-07-12;1265.0
2021-07-13;1255.0
2021-07-14;1145.0
2021-07-15;1111.0
2021-07-16;946.0
2021-07-19;993.0
2021-07-20;873.0
2021-07-21;1051.0
2021-07-22;819.0
2021-07-23;852.0
2021-07-26;1015.0
2021-07-27;1055.0
2021-07-28;1054.0
2021-07-29;876.0
2021-07-30;1096.0
2021-08-02;1222.0
2021-08-03;1238.0
2021-08-04;873.0
