Fecha_Ini_Expte;Cant_Expte
2011-01-09;6453
2011-01-16;5768
2011-01-23;4948
2011-01-30;4917
2011-02-06;6222
2011-02-13;7399
2011-02-20;7383
2011-02-27;7710
2011-03-06;8281
2011-03-13;4824
2011-03-20;9021
2011-03-27;4828
2011-04-03;8299
2011-04-10;9054
2011-04-17;8923
2011-04-24;4911
2011-05-01;8070
2011-05-08;8530
2011-05-15;8610
2011-05-22;8528
2011-05-29;5892
2011-06-05;8391
2011-06-12;8778
2011-06-19;7304
2011-06-26;7764
2011-07-03;7545
2011-07-10;8225
2011-07-17;6629
2011-07-24;7283
2011-07-31;7626
2011-08-07;8255
2011-08-14;8211
2011-08-21;8559
2011-08-28;6282
2011-09-04;8144
2011-09-11;9270
2011-09-18;8184
2011-09-25;7981
2011-10-02;6758
2011-10-09;7774
2011-10-16;6888
2011-10-23;8256
2011-10-30;8437
2011-11-06;7623
2011-11-13;7902
2011-11-20;6929
2011-11-27;8566
2011-12-04;4875
2011-12-11;5743
2011-12-18;8558
2011-12-25;7172
2012-01-01;5668
2012-01-08;6404
2012-01-15;5772
2012-01-22;5318
2012-01-29;5232
2012-02-05;5252
2012-02-12;7050
2012-02-19;6923
2012-02-26;4040
2012-03-04;5862
2012-03-11;7674
2012-03-18;8074
2012-03-25;8100
2012-04-01;8029
2012-04-08;3061
2012-04-15;8366
2012-04-22;8798
2012-04-29;8666
2012-05-06;4818
2012-05-13;8859
2012-05-20;8435
2012-05-27;6917
2012-06-03;8117
2012-06-10;7780
2012-06-17;8253
2012-06-24;7012
2012-07-01;7583
2012-07-08;8390
2012-07-15;6769
2012-07-22;7651
2012-07-29;7189
2012-08-05;7676
2012-08-12;7983
2012-08-19;8229
2012-08-26;6118
2012-09-02;8159
2012-09-09;8158
2012-09-16;8678
2012-09-23;6040
2012-09-30;7269
2012-10-07;9184
2012-10-14;6920
2012-10-21;8536
2012-10-28;8425
2012-11-04;7327
2012-11-11;7681
2012-11-18;7316
2012-11-25;8591
2012-12-02;6836
2012-12-09;6743
2012-12-16;8673
2012-12-23;7310
2012-12-30;4197
2013-01-06;4941
2013-01-13;6886
2013-01-20;5994
2013-01-27;5600
2013-02-03;4229
2013-02-10;6737
2013-02-17;4090
2013-02-24;6290
2013-03-03;6004
2013-03-10;8536
2013-03-17;8820
2013-03-24;8363
2013-03-31;5442
2013-04-07;5126
2013-04-14;8584
2013-04-21;9478
2013-04-28;8946
2013-05-05;6950
2013-05-12;8647
2013-05-19;8301
2013-05-26;8439
2013-06-02;8415
2013-06-09;8274
2013-06-16;8382
2013-06-23;5401
2013-06-30;8425
2013-07-07;8912
2013-07-14;5963
2013-07-21;7148
2013-07-28;7594
2013-08-04;8632
2013-08-11;8774
2013-08-18;8580
2013-08-25;7435
2013-09-01;8134
2013-09-08;9003
2013-09-15;8673
2013-09-22;8777
2013-09-29;7900
2013-10-06;7682
2013-10-13;8122
2013-10-20;7426
2013-10-27;8530
2013-11-03;7178
2013-11-10;8150
2013-11-17;7651
2013-11-24;9530
2013-12-01;6244
2013-12-08;4119
2013-12-15;11335
2013-12-22;9236
2013-12-29;5040
2014-01-05;4290
2014-01-12;7680
2014-01-19;6782
2014-01-26;5518
2014-02-02;5346
2014-02-09;6839
2014-02-16;7305
2014-02-23;7432
2014-03-02;7481
2014-03-09;4618
2014-03-16;8553
2014-03-23;9249
2014-03-30;6930
2014-04-06;6989
2014-04-13;7528
2014-04-20;5553
2014-04-27;9176
2014-05-04;5107
2014-05-11;8649
2014-05-18;9151
2014-05-25;8823
2014-06-01;7933
2014-06-08;8382
2014-06-15;8462
2014-06-22;7371
2014-06-29;8443
2014-07-06;8589
2014-07-13;6259
2014-07-20;7777
2014-07-27;8065
2014-08-03;7922
2014-08-10;8650
2014-08-17;8501
2014-08-24;7221
2014-08-31;8200
2014-09-07;8544
2014-09-14;8672
2014-09-21;8853
2014-09-28;8042
2014-10-05;7209
2014-10-12;7650
2014-10-19;6672
2014-10-26;8819
2014-11-02;7265
2014-11-09;8343
2014-11-16;8428
2014-11-23;9083
2014-11-30;6029
2014-12-07;6968
2014-12-14;8098
2014-12-21;9125
2014-12-28;4044
2015-01-04;3823
2015-01-11;6675
2015-01-18;6099
2015-01-25;5781
2015-02-01;5354
2015-02-08;6095
2015-02-15;6541
2015-02-22;4120
2015-03-01;6927
2015-03-08;6572
2015-03-15;7464
2015-03-22;7031
2015-03-29;4554
