Fecha_Ini_Expte;Cant_Expte
2021-01-10;5063
2021-01-17;4987
2021-01-24;4196
2021-01-31;4123
2021-02-07;4267
2021-02-14;5375
2021-02-21;3222
2021-02-28;5255
2021-03-07;5373
2021-03-14;5804
2021-03-21;5793
2021-03-28;4947
2021-04-04;3412
2021-04-11;5851
2021-04-18;5939
2021-04-25;5659
2021-05-02;5467
2021-05-09;5668
2021-05-16;5535
2021-05-23;5367
2021-05-30;1589
2021-06-06;4733
2021-06-13;5952
2021-06-20;5430
2021-06-27;3947
2021-07-04;5329
2021-07-11;4779
2021-07-18;5734
2021-07-25;4588
2021-08-01;5096
2021-08-08;3333
