Fecha_Ini_Expte;Cant_Expte
2011-01-03;1144.0
2011-01-04;1217.0
2011-01-05;1326.0
2011-01-06;1377.0
2011-01-07;1388.0
2011-01-10;1260.0
2011-01-11;1204.0
2011-01-12;1058.0
2011-01-13;1320.0
2011-01-14;925.0
2011-01-17;998.0
2011-01-18;990.0
2011-01-19;945.0
2011-01-20;1132.0
2011-01-21;883.0
2011-01-24;1096.0
2011-01-25;1150.0
2011-01-26;872.0
2011-01-27;919.0
2011-01-28;879.0
2011-01-31;1138.0
2011-02-01;1386.0
2011-02-02;1095.0
2011-02-03;1255.0
2011-02-04;1346.0
2011-02-07;1453.0
2011-02-08;1552.0
2011-02-09;1557.0
2011-02-10;1423.0
2011-02-11;1414.0
2011-02-14;1324.0
2011-02-15;1499.0
2011-02-16;1643.0
2011-02-17;1546.0
2011-02-18;1370.0
2011-02-21;1465.0
2011-02-22;1453.0
2011-02-23;1663.0
2011-02-24;1602.0
2011-02-25;1525.0
2011-02-28;1445.0
2011-03-01;1592.0
2011-03-02;1692.0
2011-03-03;1658.0
2011-03-04;1893.0
2011-03-07;1.0
2011-03-08;1.0
2011-03-09;1654.0
2011-03-10;1739.0
2011-03-11;1429.0
2011-03-14;1707.0
2011-03-15;2130.0
2011-03-16;1809.0
2011-03-17;1705.0
2011-03-18;1669.0
2011-03-21;1798.0
2011-03-22;1669.0
2011-03-23;1361.0
2011-03-24;1607.0
2011-03-25;1607.0
2011-03-28;1607.0
2011-03-29;1519.0
2011-03-30;1793.0
2011-03-31;1596.0
2011-04-01;1784.0
2011-04-04;1954.0
2011-04-05;1800.0
2011-04-06;1875.0
2011-04-07;1668.0
2011-04-08;1756.0
2011-04-11;1970.0
2011-04-12;1699.0
2011-04-13;1887.0
2011-04-14;1695.0
2011-04-15;1672.0
2011-04-18;1679.0
2011-04-19;1754.0
2011-04-20;1477.0
2011-04-21;1.0
2011-04-22;1965.0
2011-04-25;1965.0
2011-04-26;1790.0
2011-04-27;862.0
2011-04-28;2185.0
2011-04-29;1268.0
2011-05-02;1684.0
2011-05-03;1693.0
2011-05-04;1858.0
2011-05-05;1548.0
2011-05-06;1746.0
2011-05-09;1544.0
2011-05-10;1908.0
2011-05-11;1746.0
2011-05-12;1640.0
2011-05-13;1771.0
2011-05-16;1861.0
2011-05-17;1722.0
2011-05-18;1610.0
2011-05-19;1717.0
2011-05-20;1618.0
2011-05-23;1373.0
2011-05-24;1328.0
2011-05-25;1461.0
2011-05-26;1461.0
2011-05-27;1730.0
2011-05-30;1778.0
2011-05-31;1495.0
2011-06-01;1705.0
2011-06-02;1531.0
2011-06-03;1882.0
2011-06-06;2076.0
2011-06-07;1651.0
2011-06-08;1735.0
2011-06-09;1567.0
2011-06-10;1749.0
2011-06-13;1622.0
2011-06-14;1791.0
2011-06-15;1702.0
2011-06-16;1222.0
2011-06-17;965.0
2011-06-20;2274.0
2011-06-21;2274.0
2011-06-22;2163.0
2011-06-23;1614.0
2011-06-24;1712.0
2011-06-27;1637.0
2011-06-28;1490.0
2011-06-29;1503.0
2011-06-30;1442.0
2011-07-01;1472.0
2011-07-04;1639.0
2011-07-05;1625.0
2011-07-06;1671.0
2011-07-07;1723.0
2011-07-08;1567.0
2011-07-11;1315.0
2011-07-12;1312.0
2011-07-13;1228.0
2011-07-14;1227.0
2011-07-15;1547.0
2011-07-18;1427.0
2011-07-19;1351.0
2011-07-20;1292.0
2011-07-21;1447.0
2011-07-22;1765.0
2011-07-25;1610.0
2011-07-26;1478.0
2011-07-27;1553.0
2011-07-28;1503.0
2011-07-29;1482.0
2011-08-01;1291.0
2011-08-02;1653.0
2011-08-03;1793.0
2011-08-04;1718.0
2011-08-05;1800.0
2011-08-08;1634.0
2011-08-09;1705.0
2011-08-10;1558.0
2011-08-11;1459.0
2011-08-12;1855.0
2011-08-15;1815.0
2011-08-16;1536.0
2011-08-17;1944.0
2011-08-18;1723.0
2011-08-19;1541.0
2011-08-22;1429.0
2011-08-23;1429.0
2011-08-24;1535.0
2011-08-25;1599.0
2011-08-26;1718.0
2011-08-29;1651.0
2011-08-30;1628.0
2011-08-31;1671.0
2011-09-01;1748.0
2011-09-02;1446.0
2011-09-05;1795.0
2011-09-06;1964.0
2011-09-07;1855.0
2011-09-08;1793.0
2011-09-09;1862.0
2011-09-12;1759.0
2011-09-13;1477.0
2011-09-14;1723.0
2011-09-15;1548.0
2011-09-16;1677.0
2011-09-19;1685.0
2011-09-20;1706.0
2011-09-21;1871.0
2011-09-22;1159.0
2011-09-23;1560.0
2011-09-26;1597.0
2011-09-27;1292.0
2011-09-28;1582.0
2011-09-29;1672.0
2011-09-30;615.0
2011-10-03;1933.0
2011-10-04;1675.0
2011-10-05;1854.0
2011-10-06;1524.0
2011-10-07;788.0
2011-10-10;1.0
2011-10-11;1732.0
2011-10-12;1692.0
2011-10-13;1773.0
2011-10-14;1690.0
2011-10-17;1568.0
2011-10-18;1873.0
2011-10-19;1633.0
2011-10-20;1677.0
2011-10-21;1505.0
2011-10-24;2029.0
2011-10-25;1271.0
2011-10-26;1709.0
2011-10-27;1836.0
2011-10-28;1592.0
2011-10-31;1495.0
2011-11-01;1626.0
2011-11-02;1429.0
2011-11-03;1689.0
2011-11-04;1382.0
2011-11-07;1611.0
2011-11-08;1548.0
2011-11-09;1563.0
2011-11-10;1780.0
2011-11-11;1396.0
2011-11-14;1717.0
2011-11-15;1742.0
2011-11-16;1742.0
2011-11-17;1655.0
2011-11-18;1814.0
2011-11-21;1806.0
2011-11-22;1698.0
2011-11-23;1809.0
2011-11-24;1574.0
2011-11-25;1679.0
2011-11-28;1528.0
2011-11-29;1528.0
2011-11-30;1481.0
